"","id","segmentId"
"1","C_1198",85
"2","C_1199",85
"3","C_376",364
"4","C_1200",397
"5","C_1201",397
"6","C_1202",397
"7","C_1203",397
"8","C_1204",397
"9","C_1205",401
"10","C_1206",401
"11","C_1207",401
"12","C_1208",401
"13","C_1209",401
"14","C_1210",401
"15","C_1211",401
"16","C_62",436
"17","C_63",436
"18","C_56",437
"19","C_57",437
"20","C_58",437
"21","C_59",437
"22","C_60",437
"23","C_61",437
"24","C_55",439
"25","C_49",441
"26","C_51",441
"27","C_50",443
"28","C_85",450
"29","C_73",451
"30","C_74",451
"31","C_75",451
"32","C_76",451
"33","C_77",451
"34","C_78",451
"35","C_79",451
"36","C_87",452
"37","C_88",452
"38","C_89",452
"39","C_90",452
"40","C_439",454
"41","C_446",454
"42","C_96",455
"43","C_431",455
"44","C_432",455
"45","C_433",455
"46","C_434",455
"47","C_435",455
"48","C_436",455
"49","C_97",456
"50","C_98",456
"51","C_99",456
"52","C_100",456
"53","C_101",456
"54","C_102",456
"55","C_103",456
"56","C_104",456
"57","C_418",457
"58","C_401",458
"59","C_402",458
"60","C_419",459
"61","C_400",460
"62","C_391",461
"63","C_420",461
"64","C_392",462
"65","C_399",462
"66","C_316",463
"67","C_317",463
"68","C_393",464
"69","C_390",465
"70","C_318",466
"71","C_319",466
"72","C_442",467
"73","C_44",469
"74","C_46",470
"75","C_47",470
"76","C_48",470
"77","C_443",471
"78","C_444",471
"79","C_445",471
"80","C_32",475
"81","C_33",475
"82","C_34",475
"83","C_29",476
"84","C_35",476
"85","C_36",476
"86","C_40",477
"87","C_41",477
"88","C_458",478
"89","C_468",478
"90","C_467",479
"91","C_469",480
"92","C_70",485
"93","C_421",488
"94","C_422",488
"95","C_423",488
"96","C_424",488
"97","C_425",488
"98","C_426",488
"99","C_427",488
"100","C_428",488
"101","C_429",488
"102","C_382",493
"103","C_383",493
"104","C_384",493
"105","C_65",494
"106","C_66",494
"107","C_67",494
"108","C_68",494
"109","C_69",494
"110","C_372",496
"111","C_373",496
"112","C_374",496
"113","C_375",496
"114","C_378",497
"115","C_377",498
"116","C_370",499
"117","C_371",499
"118","C_359",501
"119","C_360",501
"120","C_361",501
"121","C_362",502
"122","C_363",502
"123","C_364",502
"124","C_365",502
"125","C_339",503
"126","C_340",503
"127","C_341",503
"128","C_342",503
"129","C_343",504
"130","C_344",504
"131","C_345",504
"132","C_349",504
"133","C_350",505
"134","C_348",506
"135","C_329",507
"136","C_334",507
"137","C_335",507
"138","C_336",507
"139","C_337",507
"140","C_338",507
"141","C_320",508
"142","C_321",508
"143","C_322",508
"144","C_323",508
"145","C_324",508
"146","C_325",508
"147","C_352",509
"148","C_346",510
"149","C_347",510
"150","C_357",510
"151","C_358",510
"152","C_351",511
"153","C_355",513
"154","C_356",513
"155","C_367",514
"156","C_368",514
"157","C_106",521
"158","C_107",521
"159","C_108",521
"160","C_109",521
"161","C_110",521
"162","C_449",521
"163","C_450",521
"164","C_499",523
"165","C_705",523
"166","C_126",525
"167","C_127",525
"168","C_500",526
"169","C_501",526
"170","C_117",530
"171","C_118",530
"172","C_119",530
"173","C_120",530
"174","C_121",530
"175","C_122",530
"176","C_123",530
