"id","x","y","bearing","q","time"
0,2.08952439809616,0.387051405451311,249,7,56
1,2.03988235099833,0.36965744786371,256,0,0
2,2.22020997324671,0.376661209547097,304,6,48
3,2.18334401889034,0.407754832845829,326,0,0
4,2.28493704550918,0.397518565769983,239,7,56
5,2.2422987600949,0.372120309114873,239,0,0
6,2.30525565083294,0.408909299057226,60,3,24
7,2.32365014580405,0.419145566133618,60,0,0
8,2.62673600855021,0.177169448186515,100,25,200
9,2.65898409806027,0.151386369461304,29,0,0
10,2.47388468213735,0.280917478400287,84,20,160
11,2.52737494994043,0.201336274215771,210,0,0
12,2.44456124036328,0.221577915125182,303,6,48
13,2.39199454552946,0.246822242951924,285,0,0
14,2.33134658721458,0.423455573323016,240,7,56
15,2.29047848332474,0.400751071162442,240,0,0
16,2.49150953296743,0.190176434170261,303,2,16
17,2.48358219831459,0.195563943157692,303,0,0
18,2.34204464077519,0.267371741518072,302,3,24
19,2.32380407463228,0.279147296875963,302,0,0
20,2.25746074967362,0.304699482358895,57,2,16
21,2.26992898475866,0.312472888183577,57,0,0
22,2.4074643927646,0.314243069707902,257,8,64
23,2.33958177952383,0.290614994577663,239,0,0
24,2.44656231513002,0.307008414782236,336,1,8
25,2.44656231513002,0.307008414782236,336,0,0
26,2.60049114334034,0.233507399311441,341,22,176
27,2.459723229942,0.328943272802061,254,0,0
28,2.42924532195633,0.419992174688278,101,1,8
29,2.42924532195633,0.419992174688278,101,0,0
30,2.46895895963461,0.411603053551215,281,4,32
31,2.42424263503952,0.420992712071853,281,0,0
32,3.2200546768869,0.504191243719477,267,1,8
33,3.2200546768869,0.504191243719477,267,0,0
34,3.23968060248373,0.496648731137073,344,1,8
35,3.23968060248373,0.496648731137073,344,0,0
36,3.21466716789954,0.335870070071537,163,6,48
37,3.2151289543842,0.334253817375581,343,0,0
38,3.3198005575672,0.346106337147382,341,2,16
39,3.31849216252743,0.349877593438857,341,0,0
40,3.35120203852212,0.316782895373522,83,2,16
41,3.35235650473369,0.316936824201891,83,0,0
42,3.38183387533598,0.274606396443739,160,56,448
43,3.38067940912441,0.277992830664566,340,0,0
44,3.36544045513158,0.330020774599547,162,1,8
45,3.36544045513158,0.330020774599547,162,0,0
46,3.32041627288005,0.344336155623058,161,3,24
47,3.32626556835204,0.327096126863826,161,0,0
48,3.30433071033208,0.452009370956127,264,17,136
49,3.31310465354007,0.367887266339386,163,0,0
50,3.32257127647499,0.467556182605493,342,1,8
51,3.32257127647499,0.467556182605493,342,0,0
52,3.30648571392702,0.452240264198406,84,2,16
53,3.30648571392702,0.452240264198406,84,0,0
54,3.32341788503017,0.464939392525961,162,4,32
55,3.32680431925079,0.454395267793379,162,0,0
56,2.76573374042412,0.167471932009686,177,15,120
57,2.78620627457612,0.190330362998629,76,0,0
58,3.31033393463227,0.542750415186154,183,8,64
59,3.3104878634605,0.515735905835088,171,0,0
60,3.25568920061762,0.505807496415979,87,2,16
61,3.25907563483824,0.505961425243801,87,0,0
62,3.3107957211169,0.549215425971071,3,1,8
63,3.3107957211169,0.549215425971071,3,0,0
64,3.23467791556691,0.504960887860773,87,1,8
65,3.23467791556691,0.504960887860773,87,0,0
66,3.20650894000442,0.504114279305566,270,5,40
67,3.16086904244003,0.504114279305566,270,0,0
68,2.48119630147733,0.367502444268738,120,4,32
69,2.48034969292216,0.367964230753297,300,0,0
70,3.148400807355,0.504191243719477,270,1,8
71,3.148400807355,0.504191243719477,270,0,0
72,3.13200738715059,0.383741935644942,348,4,32
73,3.12862095292997,0.399904462607235,348,0,0
74,3.14155097449964,0.339487397534643,8,1,8
75,3.14155097449964,0.339487397534643,8,0,0
76,3.23483184439511,0.197488053510385,86,7,56
77,3.19735017472589,0.193639832804999,261,0,0
78,3.20104446660294,0.12006185292084,160,2,16
79,3.20258375488505,0.115751845730895,160,0,0
80,3.21466716789954,0.1549267325105,88,13,104
81,3.21151162692123,0.154849768096042,268,0,0
82,3.31225804498489,0.112057553853878,83,12,96
83,3.40130587210458,0.122601678585914,83,0,0
84,3.43578592962369,0.102052180020312,195,11,88
85,3.43101413594919,0.0488697698733868,179,0,0
86,3.32280216971731,0.00854041688238528,87,6,48
87,3.38729834873743,0.00253719258202688,111,0,0
88,3.23521666646562,0.0613380049586624,83,5,40
89,3.30379195943334,0.0688035531266081,83,0,0
90,3.22059342778565,0.026780983025193,158,7,56
91,3.32857450077521,0.0593369301915117,336,0,0
92,2.3971511612745,0.260291015420228,54,7,56
93,2.43932766020412,0.277069257695448,82,0,0
94,3.21697610032271,0.045714228894839,177,1,8
95,3.21697610032271,0.045714228894839,177,0,0
96,3.32395663592887,0.0701119481663737,156,13,104
97,3.22190182282545,0.0233945488043659,302,0,0
98,3.39507175456208,0.293770535556211,264,1,8
99,3.39507175456208,0.293770535556211,264,0,0
100,3.16671833791206,0.0380177874846139,152,5,40
101,3.19788892562463,0.0334768870523897,86,0,0
102,3.16540994287226,0.0879676922390804,258,2,16
103,3.15301867220134,0.0855048309873708,258,0,0
104,3.01232772321708,0.167394967595229,178,29,232
105,3.01263558087351,0.156389056378087,333,0,0
106,3.06597191984839,0.194948227844764,333,15,120
107,3.04118937850652,0.243435808731096,332,0,0
108,3.08428945040542,0.150924582976745,159,12,96
109,3.07574640043975,0.172705512168749,338,0,0
110,3.01040361286446,0.301466976966436,169,16,128
111,3.0097878975516,0.305007340015632,349,0,0
112,2.92628150824751,0.34956973578212,8,2,16
113,2.92758990328728,0.358035821333641,8,0,0
114,3.08013337204374,0.410217694096991,268,13,104
115,2.94367546583528,0.395440526588921,260,0,0
116,2.94760065095465,0.360190824928614,93,15,120
117,2.94890904599441,0.360113860514703,273,0,0
118,3.1795713950676,0.172705512168749,152,1,8
119,3.1795713950676,0.172705512168749,152,0,0
120,2.94606136267253,0.313935212051712,85,10,80
121,2.99901287957687,0.317860397171009,85,0,0
122,2.60333882666225,0.35788189250582,148,4,32
123,2.60218436045065,0.359806002858513,328,0,0
124,2.61503741760623,0.380432465838572,102,8,64
125,2.68545985651245,0.356650461879965,110,0,0
126,2.57447717137281,0.389129444632373,282,5,40
127,2.5075950955154,0.403444825655884,282,0,0
128,2.4775789740144,0.386820512209032,24,1,8
129,2.4775789740144,0.386820512209032,24,0,0
130,2.41077386257111,0.411910911207405,230,4,32
131,2.38891596896523,0.393901238306876,230,0,0
132,2.38791543158186,0.428843082310447,102,1,8
133,2.38791543158186,0.428843082310447,102,0,0
134,2.40992725401594,0.449623474118875,165,2,16
135,2.41192832878268,0.44192703270865,165,0,0
136,2.44964089169422,0.476714947883852,83,28,224
137,2.44917910520959,0.476637983469941,263,0,0
138,2.89695806647345,0.395979277487938,252,5,40
139,2.90273039753132,0.333022386749726,92,0,0
140,2.93467062938495,0.46847975557461,140,3,24
141,2.94452207439042,0.45393348130882,152,0,0
142,3.07028192703827,0.469249399715906,359,6,48
143,3.06974317613953,0.502421062195152,358,0,0
144,2.95037136986241,0.493108368088424,75,10,80
