"","segmentId","fx","fy","tx","ty"
"1",1315,3.11346348942628,0.721895517543814,3.13452899812396,0.748025556207142
"2",2164,3.23567279946685,0.58889655670687,3.21627711767812,0.591245324227169
"3",2271,3.31081501037017,0.551022680442045,3.19644104197935,0.564821689623803
"4",2268,3.13287752096125,0.570106416544476,3.19644104197935,0.564821689623803
"5",2133,3.02468741705747,0.574510355645037,2.90042293543664,0.565996073383953
"6",1262,3.0374955399416,0.575978335345224,3.02468741705747,0.574510355645037
"7",5,3.06226769738225,0.580675870385823,3.0374955399416,0.575978335345224
"8",652,3.07878246900936,0.535462095620063,3.08828763756807,0.571574396244663
"9",1258,3.01890724698798,0.629412796432032,3.0374955399416,0.575978335345224
"10",2134,2.90042293543664,0.565996073383953,3.02468741705747,0.574510355645037
"11",1607,2.9024781070169,0.548967508861783,2.90042293543664,0.536049287500137
"12",1443,2.84964918755642,0.585373405426421,2.85087862055532,0.563060113983579
"13",1596,2.9024781070169,0.548967508861783,2.90042293543664,0.565996073383953
"14",1445,2.90042293543664,0.565996073383953,2.85087862055532,0.563060113983579
"15",1444,2.85087862055532,0.563060113983579,2.90042293543664,0.565996073383953
"16",1203,2.75839589944354,0.622953685751209,2.74065169481753,0.650258108174687
"17",1207,2.70595232465436,0.646441360954201,2.62833289800697,0.637633482753079
"18",1209,2.62833289800697,0.637633482753079,2.61802034061316,0.637633482753079
"19",1211,2.61802034061316,0.637633482753079,2.58952318468328,0.641450229973565
"20",979,2.57508193438269,0.641450229973565,2.50449046054995,0.635871907112854
"21",1524,2.60315704614877,0.582437446026047,2.6006798304047,0.590951728287132
"22",1515,2.58704596893921,0.579501486625673,2.60315704614877,0.582437446026047
"23",1493,2.61099238779851,0.547499529161596,2.60315704614877,0.582437446026047
"24",966,2.51107801945454,0.541040418480773,2.61099238779851,0.547499529161596
"25",956,2.41488864959978,0.535168499680025,2.51107801945454,0.541040418480773
"26",955,2.38640984341615,0.532819732159726,2.41488864959978,0.535168499680025
"27",963,2.38228115050938,0.563353709923616,2.38393262767209,0.545444357581334
"28",962,2.38393262767209,0.545444357581334,2.38228115050938,0.563353709923616
"29",71,2.26583366079204,0.524305449898641,2.32653462139478,0.52900298493924
"30",1507,2.24230928609655,0.553077852022307,2.2431350246779,0.535168499680025
"31",1510,2.24148354751519,0.557481791122868,2.24230928609655,0.553077852022307
"32",1509,2.24230928609655,0.553077852022307,2.24148354751519,0.557481791122868
"33",1497,2.23074894595757,0.552197064202195,2.24230928609655,0.553077852022307
"34",1502,2.00367083608489,0.506689693496397,2.24520854600441,0.524011853958604
